index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
3474,640,480,230,496.1513,78.2623,0.0000,232.0000,53.7739,30940,1.0000
3475,640,480,256,750.1415,97.4721,0.0000,255.0000,66.9431,36093,1.0000
3476,640,480,256,469.6805,108.6263,0.0000,255.0000,73.5424,37322,1.0000
3477,640,480,256,425.9108,108.3167,0.0000,255.0000,73.0126,37306,1.0000
3478,640,480,256,723.6577,96.7097,0.0000,255.0000,66.2662,36622,1.0000
3479,640,480,256,753.2356,99.5124,0.0000,255.0000,68.7018,36170,1.0000
3480,640,480,256,429.3498,107.8432,0.0000,255.0000,72.9454,38382,1.0000
3481,640,480,256,679.0463,95.6740,0.0000,255.0000,66.1404,36108,1.0000
3482,640,480,226,478.4042,76.5535,0.0000,226.0000,52.9420,31501,1.0000
3483,640,480,256,405.5095,104.8754,0.0000,255.0000,73.0379,37949,1.0000
3484,640,480,256,669.9973,89.4641,0.0000,255.0000,67.0712,35226,1.0000
3485,640,480,256,420.8320,99.6325,0.0000,255.0000,73.7540,37533,1.0000
3486,640,480,256,490.7021,109.3080,0.0000,255.0000,73.8743,36595,1.0000
3487,640,480,256,611.3785,85.9868,0.0000,255.0000,67.4095,34538,1.0000
3488,640,480,256,556.9852,86.5554,0.0000,255.0000,67.2375,34032,1.0000
3489,640,480,256,352.9564,96.3799,0.0000,255.0000,73.9128,36367,1.0000
3490,640,480,230,401.2726,69.2669,0.0000,235.0000,53.8460,29619,1.0000
3491,640,480,256,332.0541,95.8369,0.0000,255.0000,74.5236,35035,1.0000
3492,640,480,256,315.8076,92.9124,0.0000,255.0000,74.7030,34320,1.0000
3493,640,480,232,375.5364,67.0442,0.0000,239.0000,54.9221,28495,1.0000
3494,640,480,256,497.5072,79.7268,0.0000,255.0000,69.5312,31638,1.0000
3495,640,480,256,472.0559,81.9094,0.0000,255.0000,71.2395,31432,1.0000
3496,640,480,232,357.2398,65.5959,0.0000,236.0000,57.0314,27292,1.0000
3497,640,480,256,446.2951,77.0484,0.0000,255.0000,71.1575,30325,1.0000
3498,640,480,256,453.4170,72.5002,0.0000,255.0000,70.7549,29751,1.0000
3499,640,480,256,268.2460,79.8301,0.0000,255.0000,76.0623,31476,1.0000
3500,640,480,256,439.1131,72.5445,0.0000,255.0000,71.2847,29566,1.0000
3501,640,480,232,339.4876,58.1035,0.0000,241.0000,57.0661,25356,1.0000
3502,640,480,256,369.2873,113.4782,0.0000,255.0000,73.3420,34082,1.0000
3503,640,480,233,483.1717,82.9418,0.0000,235.0000,54.9754,30321,1.0000
3504,640,480,227,427.5884,74.8539,0.0000,230.0000,52.1717,30157,1.0000
3505,640,480,256,508.2407,83.6092,0.0000,255.0000,68.6097,32299,1.0000
3506,640,480,231,372.4471,66.9331,0.0000,241.0000,54.9442,28171,1.0000
3507,640,480,256,589.5872,91.9018,0.0000,255.0000,64.5119,34740,1.0000
3508,640,480,229,256.3401,63.5705,0.0000,233.0000,55.7284,21673,1.0000
3509,640,480,256,596.6793,92.0330,0.0000,255.0000,63.9530,34988,1.0000
3510,640,480,256,393.3909,101.8578,0.0000,255.0000,70.1245,37785,1.0000
3511,640,480,256,591.9326,93.7047,0.0000,255.0000,64.8847,35739,1.0000
3512,640,480,229,447.4457,75.0151,0.0000,231.0000,51.9592,31205,1.0000
3513,640,480,256,344.5088,97.0383,0.0000,255.0000,71.5078,37437,1.0000
3514,640,480,229,399.4683,70.3976,0.0000,231.0000,52.5388,30242,1.0000
3515,640,480,256,298.5522,76.3092,0.0000,255.0000,69.9059,24002,1.0000
3516,640,480,228,414.2399,72.0743,0.0000,234.0000,53.5820,30255,1.0000
3517,640,480,256,532.3679,87.8338,0.0000,255.0000,67.1014,33924,1.0000
3518,640,480,230,390.4671,70.3101,0.0000,235.0000,53.6982,29450,1.0000
3519,640,480,230,381.4016,66.8497,0.0000,238.0000,54.1199,28713,1.0000
3520,640,480,256,463.1295,78.3407,0.0000,255.0000,67.9944,31141,1.0000
3521,640,480,256,279.6122,87.0058,0.0000,255.0000,74.1899,33066,1.0000
3522,640,480,256,254.3746,83.3674,0.0000,255.0000,75.8432,25872,1.0000
3523,640,480,256,260.8122,85.5879,0.0000,255.0000,76.1097,31992,1.0000
3524,640,480,256,642.6201,81.9851,0.0000,255.0000,68.9688,32910,1.0000
3525,640,480,256,355.8308,90.7741,0.0000,255.0000,75.0821,34738,1.0000
3526,640,480,234,478.0355,65.6385,0.0000,235.0000,55.2286,28717,1.0000
3527,640,480,233,349.8642,58.8262,0.0000,237.0000,56.3828,25653,1.0000
3528,640,480,231,239.6065,61.2534,0.0000,234.0000,56.0510,20811,1.0000
3529,640,480,256,252.4743,77.9790,0.0000,255.0000,75.4911,30690,1.0000
3530,640,480,232,319.9764,56.6834,0.0000,236.0000,56.1423,24938,1.0000
3531,640,480,256,262.6392,87.0555,0.0000,255.0000,76.1567,32288,1.0000
3532,640,480,256,465.2518,83.2747,0.0000,255.0000,71.7470,31259,1.0000
