__id,component_id,sum,count,mean_distance,min_distance,max_distance
339,42,60.6626,62.0000,0.9784,0.9611,0.9932
340,42,60.6626,62.0000,0.9784,0.9611,0.9932
341,16,108.0535,110.0000,0.9823,0.9609,0.9944
342,16,108.0535,110.0000,0.9823,0.9609,0.9944
343,42,60.6626,62.0000,0.9784,0.9611,0.9932
344,42,60.6626,62.0000,0.9784,0.9611,0.9932
345,42,60.6626,62.0000,0.9784,0.9611,0.9932
346,43,66.8816,68.0000,0.9836,0.9622,0.9944
347,43,66.8816,68.0000,0.9836,0.9622,0.9944
348,43,66.8816,68.0000,0.9836,0.9622,0.9944
349,44,39.1797,40.0000,0.9795,0.9701,0.9918
350,44,39.1797,40.0000,0.9795,0.9701,0.9918
351,44,39.1797,40.0000,0.9795,0.9701,0.9918
352,12,141.6758,144.0000,0.9839,0.9655,0.9941
353,44,39.1797,40.0000,0.9795,0.9701,0.9918
354,8,184.7370,188.0000,0.9826,0.9611,0.9948
355,8,184.7370,188.0000,0.9826,0.9611,0.9948
356,16,108.0535,110.0000,0.9823,0.9609,0.9944
357,12,141.6758,144.0000,0.9839,0.9655,0.9941
358,45,15.6815,16.0000,0.9801,0.9664,0.9897
359,45,15.6815,16.0000,0.9801,0.9664,0.9897
360,45,15.6815,16.0000,0.9801,0.9664,0.9897
361,44,39.1797,40.0000,0.9795,0.9701,0.9918
362,43,66.8816,68.0000,0.9836,0.9622,0.9944
363,12,141.6758,144.0000,0.9839,0.9655,0.9941
364,43,66.8816,68.0000,0.9836,0.9622,0.9944
365,43,66.8816,68.0000,0.9836,0.9622,0.9944
366,43,66.8816,68.0000,0.9836,0.9622,0.9944
367,43,66.8816,68.0000,0.9836,0.9622,0.9944
368,43,66.8816,68.0000,0.9836,0.9622,0.9944
369,16,108.0535,110.0000,0.9823,0.9609,0.9944
370,43,66.8816,68.0000,0.9836,0.9622,0.9944
371,43,66.8816,68.0000,0.9836,0.9622,0.9944
372,44,39.1797,40.0000,0.9795,0.9701,0.9918
373,44,39.1797,40.0000,0.9795,0.9701,0.9918
374,44,39.1797,40.0000,0.9795,0.9701,0.9918
375,44,39.1797,40.0000,0.9795,0.9701,0.9918
376,44,39.1797,40.0000,0.9795,0.9701,0.9918
377,46,3.9632,4.0000,0.9908,0.9908,0.9908
378,46,3.9632,4.0000,0.9908,0.9908,0.9908
379,45,15.6815,16.0000,0.9801,0.9664,0.9897
380,16,108.0535,110.0000,0.9823,0.9609,0.9944
381,16,108.0535,110.0000,0.9823,0.9609,0.9944
382,47,0.0000,0.0000,0.0000,0.0000,0.0000
383,12,141.6758,144.0000,0.9839,0.9655,0.9941
384,48,3.9560,4.0000,0.9890,0.9890,0.9890
385,48,3.9560,4.0000,0.9890,0.9890,0.9890
386,43,66.8816,68.0000,0.9836,0.9622,0.9944
387,43,66.8816,68.0000,0.9836,0.9622,0.9944
388,43,66.8816,68.0000,0.9836,0.9622,0.9944
389,12,141.6758,144.0000,0.9839,0.9655,0.9941
390,43,66.8816,68.0000,0.9836,0.9622,0.9944
391,43,66.8816,68.0000,0.9836,0.9622,0.9944
392,43,66.8816,68.0000,0.9836,0.9622,0.9944
393,16,108.0535,110.0000,0.9823,0.9609,0.9944
394,16,108.0535,110.0000,0.9823,0.9609,0.9944
395,12,141.6758,144.0000,0.9839,0.9655,0.9941
396,16,108.0535,110.0000,0.9823,0.9609,0.9944
397,49,15.7853,16.0000,0.9866,0.9806,0.9947
398,16,108.0535,110.0000,0.9823,0.9609,0.9944
399,16,108.0535,110.0000,0.9823,0.9609,0.9944
400,16,108.0535,110.0000,0.9823,0.9609,0.9944
401,12,141.6758,144.0000,0.9839,0.9655,0.9941
402,8,184.7370,188.0000,0.9826,0.9611,0.9948
403,16,108.0535,110.0000,0.9823,0.9609,0.9944
